,Provider ID,READM_30_AMI,READM_30_CABG,READM_30_COPD,READM_30_HF,READM_30_HIP_KNEE,READM_30_HOSP_WIDE,READM_30_PN,READM_30_STK,Readmission_score
0,10001,8.91,4.077,12.027,13.482,2.142,14.475999999999999,11.407,6.731,9.1565
1,10005,9.018,0.0,10.26,13.796999999999999,2.394,14.006,10.004,7.102,8.322624999999999
2,10006,8.694,4.104,11.286,12.978000000000002,2.1,14.475999999999999,10.918999999999999,6.36,8.864625
3,10007,0.0,0.0,11.342999999999998,13.293000000000001,0.0,15.604000000000001,10.553,6.731,7.190500000000001
4,10008,0.0,0.0,10.943999999999999,14.553,0.0,14.758,9.76,0.0,6.251874999999999
5,10011,9.558,4.050000000000001,11.172,12.474,2.142,14.382,10.187,5.989000000000001,8.744250000000001
6,10012,8.694,0.0,10.943999999999999,14.741999999999999,0.0,14.382,11.834,6.784000000000001,8.4225
7,10016,9.558,4.266000000000001,10.202999999999998,13.545,2.1,13.817999999999998,10.431000000000001,6.572000000000001,8.811625000000001
8,10019,0.0,0.0,13.11,14.111999999999998,1.7219999999999998,14.946,11.163,7.155,7.776
9,10021,0.0,0.0,11.342999999999998,13.419,2.142,13.911999999999999,10.004,0.0,6.3525
10,10022,0.0,0.0,10.943999999999999,13.419,0.0,14.287999999999998,9.333,0.0,5.997999999999999
11,10023,9.774000000000001,4.212,11.114999999999998,14.679,1.974,14.664,11.346,7.314000000000001,9.38475
12,10024,9.666,3.7800000000000002,9.803999999999998,11.97,2.0580000000000003,14.193999999999999,10.309,6.890000000000001,8.583874999999999
13,10029,9.072000000000001,3.402,10.943999999999999,14.616,2.478,14.287999999999998,9.638,6.413,8.856375
14,10032,0.0,0.0,10.602,13.608,0.0,14.006,9.943,0.0,6.019875
15,10033,9.72,3.7800000000000002,11.342999999999998,14.931,2.394,15.51,11.346,8.48,9.687999999999999
16,10034,0.0,0.0,11.456999999999999,13.671,0.0,13.817999999999998,9.638,6.731,6.914375
17,10035,8.748,0.0,11.286,14.364,1.9319999999999997,14.758,10.126000000000001,6.625,8.479875
18,10036,0.0,0.0,11.286,14.741999999999999,1.638,15.415999999999999,10.491999999999999,6.625,7.524874999999999
19,10038,9.558,0.0,11.571,15.120000000000001,1.974,14.946,10.796999999999999,7.155,8.890124999999998
20,10039,8.802000000000001,3.699,10.943999999999999,13.545,2.016,14.287999999999998,10.553,6.519000000000001,8.79575
21,10040,9.234000000000002,4.32,11.229,13.23,2.814,14.946,10.98,6.9430000000000005,9.212
22,10044,0.0,0.0,10.829999999999998,13.104000000000001,0.0,14.006,9.272,0.0,5.9014999999999995
23,10045,0.0,0.0,12.368999999999998,13.985999999999999,0.0,14.946,12.017,5.936,7.40675
24,10046,9.666,3.834,12.141,14.049000000000001,2.016,14.664,10.674999999999999,6.731,9.222
25,10047,0.0,0.0,11.399999999999999,0.0,0.0,14.852,11.041,0.0,4.661625
26,10049,0.0,0.0,12.141,14.175,1.8059999999999998,13.817999999999998,9.638,6.572000000000001,7.26875
27,10051,0.0,0.0,11.627999999999998,13.293000000000001,0.0,14.006,10.248,0.0,6.146875
28,10052,0.0,0.0,10.887,13.545,0.0,13.723999999999998,10.674999999999999,0.0,6.1038749999999995
29,10055,8.64,3.5910000000000006,10.145999999999999,12.851999999999999,2.0580000000000003,14.006,9.089,6.572000000000001,8.36925
