,Provider ID,OP_10,OP_11,OP_13,OP_14,OP_8
126,30103,6.4,0.5,8.2,2.3,39.0
127,30110,1.5,1.4,0.0,4.4,0.0
128,30111,1.5,0.0,11.8,4.4,0.0
129,30114,6.5,4.2,4.5,1.2,0.0
130,30115,1.8,1.8,0.0,2.6,0.0
131,30117,21.2,18.2,0.0,2.1,41.2
132,30118,17.0,12.2,4.5,1.6,41.1
133,30119,0.9,0.0,5.9,2.9,0.0
134,30120,0.0,0.0,0.0,0.0,0.0
135,30121,4.1,1.4,0.0,5.5,0.0
136,30122,2.2,0.4,0.0,5.3,0.0
137,30123,0.2,0.0,4.4,3.8,0.0
138,30130,2.9,0.8,0.0,0.0,0.0
139,30132,6.6,0.0,0.0,0.0,0.0
140,30134,0.5,0.0,0.0,0.0,0.0
141,31300,19.7,6.5,0.0,4.9,52.5
142,31304,5.4,0.0,0.0,0.0,0.0
143,31309,0.0,0.0,0.0,0.0,0.0
144,31313,13.0,5.7,0.0,0.0,0.0
145,31314,10.7,13.4,0.0,1.3,0.0
146,31315,8.8,1.9,3.4,0.0,0.0
147,40001,6.0,2.0,0.0,0.0,0.0
148,40002,6.0,2.2,0.0,0.0,0.0
149,40004,5.7,0.8,2.3,2.6,0.0
150,40007,3.2,0.5,3.1,2.6,40.4
151,40010,10.2,9.8,4.1,2.2,38.7
152,40011,0.9,1.5,0.0,0.0,0.0
153,40014,14.4,0.1,3.2,1.8,43.8
154,40015,5.0,3.2,5.5,0.0,39.4
155,40016,3.0,0.5,3.6,1.3,35.7
156,40017,15.6,8.9,0.0,2.3,45.8
157,40018,13.2,1.9,0.0,0.0,0.0
158,40019,9.3,9.7,0.0,4.8,41.3
159,40020,43.3,0.3,3.1,4.4,36.2
160,40022,11.9,6.0,7.1,3.5,51.4
161,40026,9.0,3.6,3.3,3.0,48.5
162,40027,13.1,2.2,3.7,3.0,40.1
163,40029,9.7,0.4,0.0,2.9,45.9
164,40036,2.2,0.0,4.8,2.3,41.4
165,40039,39.5,0.3,0.0,0.0,35.4
166,40041,4.5,0.7,3.9,2.0,53.2
167,40047,10.0,1.5,0.0,0.0,0.0
168,40050,8.4,0.0,0.0,6.1,52.6
169,40051,41.6,35.1,0.0,0.0,43.1
170,40055,14.4,11.5,3.9,3.8,57.5
171,40062,54.9,0.8,4.7,4.5,37.4
172,40067,15.1,0.9,0.0,0.0,51.4
173,40069,18.6,11.5,0.0,6.9,51.4
174,40071,19.5,7.8,2.3,1.7,52.3
175,40072,3.0,1.5,0.0,0.0,59.6
176,40074,14.2,14.3,0.0,6.5,0.0
177,40076,6.5,0.0,0.0,4.4,48.6
178,40078,8.6,13.6,0.0,0.0,42.3
179,40080,4.0,6.5,0.0,0.0,0.0
180,40084,9.6,0.3,0.0,0.8,43.3
181,40085,2.2,2.7,0.0,0.0,0.0
182,40088,3.9,0.0,3.0,0.0,37.0
183,40114,2.6,0.2,4.7,2.5,38.1
184,40118,30.2,3.5,2.6,2.2,38.9
185,40119,16.5,8.8,4.2,3.5,35.4
186,40134,2.2,6.0,4.9,0.0,0.0
187,40137,4.8,3.6,0.0,0.0,42.1
188,40147,0.0,0.0,0.0,0.0,43.7
189,40153,3.5,1.7,0.0,0.0,0.0
190,41302,0.9,0.0,0.0,0.0,0.0
191,41307,12.6,20.8,0.0,5.4,0.0
192,41308,5.0,9.1,0.0,0.0,0.0
193,41310,32.7,49.4,0.0,0.0,0.0
194,41311,4.8,1.6,0.0,4.4,0.0
195,41312,5.9,0.3,0.0,1.5,50.0
196,41313,2.0,0.7,0.0,0.7,0.0
197,41321,1.6,0.0,0.0,1.7,47.4
198,41323,26.2,17.2,4.5,0.0,0.0
199,41327,6.4,1.7,0.0,4.3,60.0
