,Provider ID,OP_10,OP_11,OP_13,OP_14,OP_8,Efficiency_score
0,10001,4.4159999999999995,0.14400000000000002,-0.071,-0.048,3.048,1.4978
1,10005,9.177,1.632,-0.053,-0.08,3.424,2.8199999999999994
2,10006,8.142,0.736,-0.0,-0.092,3.648,2.4867999999999997
3,10007,16.767,0.976,-0.0,-0.0,0.0,3.5485999999999995
4,10008,2.484,0.0,-0.0,-0.012,0.0,0.4944
5,10011,1.656,1.6640000000000001,-0.0,-0.068,2.8960000000000004,1.2296000000000002
6,10012,4.209,1.7280000000000002,-0.031000000000000003,-0.0,0.0,1.1812
7,10016,21.665999999999997,0.24,-0.047,-0.07200000000000001,3.024,4.962199999999999
8,10019,14.489999999999998,0.128,-0.0,-0.08800000000000001,3.072,3.5203999999999995
9,10021,2.8979999999999997,0.20800000000000002,-0.015,-0.0,4.232,1.4646000000000001
10,10022,4.898999999999999,0.912,-0.0,-0.0,0.0,1.1622
11,10023,1.7939999999999998,0.048,-0.0,-0.07400000000000001,3.672,1.088
12,10024,6.278999999999999,0.032,-0.0,-0.042,3.656,1.9849999999999999
13,10029,8.004,0.17600000000000002,-0.06,-0.054000000000000006,3.736,2.3604
14,10032,0.9659999999999999,0.0,-0.0,-0.0,0.0,0.19319999999999998
15,10033,16.284,0.0,-0.11800000000000001,-0.055999999999999994,3.2239999999999998,3.8668
16,10034,9.866999999999999,0.528,-0.0,-0.0,0.0,2.0789999999999997
17,10035,6.072,1.52,-0.008,-0.086,3.648,2.2292
18,10036,5.52,1.952,-0.0,-0.0,2.944,2.0831999999999997
19,10038,3.1049999999999995,1.1520000000000001,-0.121,-0.0,4.224,1.672
20,10039,11.385,0.0,-0.049,-0.094,3.16,2.8804000000000003
21,10040,8.625,0.9440000000000001,-0.0,-0.11599999999999999,3.064,2.5034
22,10044,2.415,0.368,-0.0,-0.0,0.0,0.5566
23,10045,1.1039999999999999,0.064,-0.0,-0.08199999999999999,3.92,1.0012
24,10046,1.4489999999999998,0.56,-0.0,-0.138,0.0,0.3742
25,10047,1.518,0.0,-0.0,-0.0,0.0,0.3036
26,10049,2.8979999999999997,0.048,-0.09300000000000001,-0.122,4.0,1.3462
27,10051,0.0,0.0,-0.0,-0.0,0.0,0.0
28,10055,4.278,0.16,-0.054000000000000006,-0.08199999999999999,3.44,1.5484
29,10056,3.6569999999999996,0.032,-0.067,-0.076,3.8160000000000003,1.4724
30,10058,4.484999999999999,0.0,-0.0,-0.0,0.0,0.8969999999999999
31,10059,5.933999999999999,0.17600000000000002,-0.0,-0.13,0.0,1.196
32,10061,3.1049999999999995,0.0,-0.0,-0.078,3.512,1.3077999999999999
33,10062,22.976999999999997,0.0,-0.0,-0.0,0.0,4.5954
34,10065,4.278,0.24,-0.0,-0.024,3.9280000000000004,1.6844000000000001
35,10069,3.1049999999999995,0.976,-0.05,-0.0,0.0,0.8061999999999999
36,10073,1.1039999999999999,0.256,-0.045,-0.0,0.0,0.263
37,10078,6.141,0.304,-0.045,-0.066,3.12,1.8907999999999998
38,10079,18.354,0.128,-0.085,-0.096,2.504,4.161
39,10083,14.627999999999998,2.272,-0.055999999999999994,-0.084,2.56,3.8639999999999994
40,10085,9.383999999999999,1.568,-0.042,-0.036000000000000004,3.2960000000000003,2.834
41,10086,3.726,0.46399999999999997,-0.043,-0.0,4.288,1.687
42,10087,15.732,2.48,-0.0,-0.132,0.0,3.6159999999999997
43,10089,3.5189999999999997,1.344,-0.0,-0.06,4.512,1.8629999999999995
44,10090,28.29,1.12,-0.0,-0.084,3.784,6.621999999999998
45,10091,21.252,3.84,-0.0,-0.0,0.0,5.0184
46,10092,1.4489999999999998,0.032,-0.034,-0.06,3.7760000000000002,1.0326
47,10095,0.0,0.0,-0.0,-0.012,0.0,-0.0024000000000000002
48,10097,8.28,0.0,-0.0,-0.0,0.0,1.656
49,10099,23.253,0.256,-0.033,-0.016,4.776000000000001,5.6472
50,10100,10.694999999999999,0.624,-0.0,-0.08199999999999999,3.096,2.8665999999999996
51,10101,8.556,1.072,-0.034,-0.0,0.0,1.9187999999999998
52,10102,4.968,0.0,-0.0,-0.0,0.0,0.9936
53,10103,8.831999999999999,1.024,-0.0,-0.06,3.3760000000000003,2.6344
54,10104,9.245999999999999,0.08,-0.049,-0.08800000000000001,3.504,2.5385999999999997
55,10108,5.52,0.096,-0.0,-0.0,4.208,1.9647999999999999
56,10109,2.622,0.16,-0.0,-0.0,0.0,0.5564
57,10110,1.1729999999999998,0.0,-0.0,-0.0,0.0,0.23459999999999998
58,10112,8.142,1.36,-0.0,-0.0,3.352,2.5707999999999998
59,10113,44.57399999999999,0.08,-0.0,-0.06,3.1439999999999997,9.547599999999997
60,10114,6.141,0.0,-0.091,-0.0,2.8560000000000003,1.7812000000000001
61,10118,3.1049999999999995,0.272,-0.04,-0.042,2.968,1.2526
62,10120,6.141,0.22399999999999998,-0.053,-0.042,4.0,2.054
63,10125,4.4159999999999995,0.0,-0.047,-0.0,2.9360000000000004,1.461
64,10126,12.005999999999998,0.336,-0.063,-0.0,0.0,2.4557999999999995
65,10128,20.424,0.0,-0.0,-0.0,0.0,4.0847999999999995
66,10129,22.286999999999995,1.8880000000000001,-0.0,-0.0,0.0,4.834999999999999
67,10130,12.144,3.8560000000000003,-0.0,-0.086,0.0,3.1828
68,10131,4.14,0.064,-0.04,-0.154,3.352,1.4724
69,10139,8.072999999999999,0.0,-0.036000000000000004,-0.036000000000000004,4.224,2.445
70,10144,24.839999999999996,0.0,-0.048,-0.042,0.0,4.949999999999999
